source/collection,121,122,128,140,145,146,157,159,186,40,41,44,45,55,89,Total
twitter.com,26,2,117,1658,61,392,73,106,1650,2857,451,259,326,28,573,8635
www.youtube.com,8,37,313,1671,10,2015,5,284,166,113,164,103,59,10,166,5138
www.usatoday.com,17,188,56,1122,53,139,67,2,123,220,67,442,6,15,169,2693
www.dailymail.co.uk,11,2,53,51,13,8,5,0,20,80,12,8,2,2,12,281
www.cnn.com,6,581,1004,4241,1741,610,653,230,1734,1280,1118,2,1938,206,561,15905
www.nytimes.com,14,5,30,1284,21,3,10,16,403,134,83,83,80,0,261,2431
abcnews.go.com,107,256,23,450,233,110,130,22,390,622,122,18,4,77,141,2705
www.radionews.us,20,39,14,433,98,439,61,67,148,0,20,10,24,47,2,1469
www.huffingtonpost.com,0,201,225,882,4,605,14,4,189,296,77,289,119,51,692,3652
www.washingtonpost.com,171,15,367,4572,0,25,0,43,101,72,29,38,17,106,8,5566
www.nydailynews.com,26,7,6,25,18,4,5,7,25,285,87,2,0,0,11,522
www.reuters.com,115,48,0,227,5,3,22,7,717,348,555,60,34,48,75,2264
www.theguardian.com,0,0,106,198,5,56,19,13,460,108,39,26,2,12,56,1102
www.nbcnews.com,164,148,10,756,132,96,36,3,179,206,46,9,0,0,8,1793
news.yahoo.com,11,29,0,476,10,40,38,6,186,90,13,8,11,0,94,1012
www.cbsnews.com,0,0,3,305,55,74,69,2,64,114,63,16,4,28,92,889
www.foxnews.com,0,61,4,976,97,160,33,109,289,99,51,0,44,60,110,2093
www.rawstory.com,20,0,19,228,56,3,25,0,303,17,37,30,18,4,30,790
www.facebook.com,0,8,45,103,0,42,0,0,13,86,18,19,19,13,32,401
globalgrind.com,0,48,140,384,11,42,2,24,2,36,48,0,19,0,131,887
www.snsanalytics.com,3,0,2,13,2,10,2,8,26,15,3,0,21,0,12,117
instagram.com,2,0,161,20,2,26,0,0,126,55,95,7,32,0,140,673
www.latimes.com,2,8,4,176,27,468,7,0,132,18,7,0,4,0,329,1182
edition.cnn.com,0,123,9,94,79,10,19,11,118,60,38,0,358,0,2,921
us.cnn.com,0,5,9,19,4,0,0,2,2,8,10,0,164,2,2,227
www.csmonitor.com,2,28,14,42,30,8,6,0,6,2,0,13,0,0,37,188
equalforce.ne,28,141,0,1403,158,313,4,0,22,85,68,31,0,0,4,2257
www.businessinsider.com,0,11,2,96,15,206,10,0,67,0,4,0,129,14,12,566
bigstory.ap.org,0,0,0,985,121,210,123,0,459,303,192,120,90,63,291,2957
talkingpointsmemo.com,0,18,96,180,49,8,0,0,276,35,5,53,133,4,0,857
www.hlntv.com,4,3,9,59,0,4,6,5,72,60,12,0,0,0,28,262
www.chicagotribune.com,12,12,0,71,0,19,7,0,17,35,27,3,0,2,0,205
globalnews.ca,0,6,5,66,2,4,0,4,2,3,2,0,0,0,6,100
www.msnbc.com,0,153,164,97,2,2,0,2,200,118,0,47,0,0,18,803
savvyvirtualjobs.com,0,2,3,9,4,4,5,0,6,2,0,0,2,0,2,39
www.examiner.com,5,21,0,232,0,22,0,0,10,36,13,4,0,8,16,367
ictmax.org,2,6,0,12,0,0,2,4,21,105,110,0,31,0,2,295
